"BehaviorSpace results (NetLogo 5.3.1)"
"global.nlogo"
"global10k"
"11/17/2018 17:36:34:729 -0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"3","4","1","10000","858.68","1.3","12","7860","328"
"6","4","1","10000","829.8","1.26","13","7768","263"
"8","4","1","10000","848.75","1.63","11","8115","322"
"4","4","1","10000","836.37","1.4","11","7952","324"
"2","4","1","10000","839.3","1.24","13","8253","327"
"7","4","1","10000","834.5","1.42","12","7808","318"
"1","4","1","10000","832.55","1.25","12","7866","323"
"5","4","1","10000","847.97","1.31","12","8278","317"
"9","4","1","10000","843.48","1.39","13","8113","291"
"10","4","1","10000","869.08","1.04","13","7709","316"
"13","4","1","10000","839.5","1.27","13","8342","300"
"11","4","1","10000","862.89","1.38","11","7633","273"
"14","4","1","10000","839.02","1.46","12","8320","350"
"12","4","1","10000","837.78","1.19","13","8489","274"
"16","4","1","10000","835.91","1.13","13","7904","288"
"15","4","1","10000","849.29","1.47","13","7940","234"
"19","4","1","10001","846.1","1.48","12","8732","453"
"17","4","1","10000","842.15","1.27","12","7664","348"
"21","4","1","10000","851.44","1.14","13","7943","320"
"20","4","1","10000","841.89","1.16","12","8081","311"
"23","4","1","10000","845.66","1.33","12","8101","303"
"22","4","1","10000","844.81","1.38","12","8158","352"
"18","4","1","10001","835.56","1.53","12","7755","238"
"24","4","1","10000","849.13","1.19","13","8309","332"
"27","4","1","10000","844.74","1.19","13","8743","336"
"25","4","1","10001","838.42","1.41","12","8542","336"
"28","4","1","10000","833.05","1.35","12","8073","240"
"26","4","1","10001","838.67","1.41","12","8329","291"
"29","4","1","10000","836.02","1.38","11","8063","331"
"30","4","1","10000","837.69","1.08","12","8161","331"
