BehaviorSpace results (NetLogo 5.3.1),,,,,,,,
globalMMM.nlogo,,,,,,,,
global20k,,,,,,,,
11/26/2018 04:59:18:610 -0200,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
4,4,1,20000,865.46,1.5,27,18622,726
5,4,1,20000,889.8,1.25,28,19904,894
2,4,1,20000,909.53,1.2,28,19406,950
6,4,1,20000,881.14,1.12,28,19135,759
8,4,1,20000,900.53,1.14,28,19995,972
3,4,1,20000,911.3,1.36,28,19005,940
1,4,1,20000,880.92,1.24,28,20336,952
10,4,1,20000,899.7,1.23,28,18392,954
7,4,1,20000,893.86,1.14,29,18858,861
11,4,1,20000,875.65,1.12,28,18922,813
13,4,1,20000,890.83,1.08,29,19244,868
9,4,1,20000,893.43,1.44,28,18593,936
14,4,1,20000,871.65,1.22,28,18566,870
16,4,1,20000,879.88,1.3,28,19377,988
15,4,1,20000,892.37,1.34,27,19675,853
18,4,1,20000,884.86,1.17,28,18240,808
17,4,1,20000,888.99,1.07,28,19793,818
20,4,1,20000,883.06,1.34,28,19021,743
19,4,1,20000,888.97,1.07,28,19750,886
12,4,1,20000,870.35,1.48,28,18429,775
21,4,1,20000,887.74,1.38,28,19077,1002
24,4,1,20000,890.9,1.14,29,19340,861
22,4,1,20000,877.77,1.17,29,18852,804
25,4,1,20000,882.43,1.14,29,18944,841
28,4,1,20000,882.58,1.35,29,18865,820
29,4,1,20000,877.15,1.17,28,18806,796
26,4,1,20000,901.56,1.23,29,19143,858
27,4,1,20000,874.2,1.51,28,19019,774
23,4,1,20000,890.21,1.2,28,19628,959
30,4,1,20000,889.64,1.32,29,19303,975
,,,,886.882,1.2473333333,,,
,,,,10.9369031739,0.1291065674,,,
