"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"avg_ws_tsB,nlogo",,,,,,,,
15k,,,,,,,,
04/10/2019 17:19:25:149 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
8,4,1,15000,"831,68","2,71",17,11391,28
3,4,1,15000,"824,13","2,76",17,11283,44
2,4,1,15000,"832,41","2,78",16,11582,54
4,4,1,15000,"827,13","2,7",17,11739,63
5,4,1,15000,"812,58","2,82",17,12086,42
6,4,1,15000,"820,05","2,81",17,11142,44
7,4,1,15000,"830,02","2,7",17,11813,37
1,4,1,15000,"826,07","2,9",16,11585,62
14,4,1,15000,"829,83","2,85",17,11433,42
13,4,1,15000,"816,97","3,03",16,11540,46
11,4,1,15000,"845,1","2,75",16,12019,64
12,4,1,15000,"833,75","2,66",17,11891,54
10,4,1,15000,"841,1","2,99",17,11510,56
9,4,1,15000,"843,57","2,87",17,12018,53
16,4,1,15000,"838,01","2,76",16,11868,38
15,4,1,15000,"815,44","2,7",16,12194,61
20,4,1,15000,"810,48","3,07",16,11565,51
21,4,1,15000,"829,8","2,98",17,11589,41
18,4,1,15000,"818,19","2,91",16,11612,46
19,4,1,15000,"822,9","2,64",15,11961,45
17,4,1,15000,"829,81","2,59",17,12058,46
23,4,1,15000,"833,22","2,88",16,11750,57
22,4,1,15000,"823,81","2,78",16,11361,37
24,4,1,15000,"827,95","2,88",17,11590,35
26,4,1,15000,"842,05","2,91",16,11567,36
25,4,1,15000,"831,03","2,83",16,12056,49
27,4,1,15000,"826,86","2,91",15,11645,44
28,4,1,15000,"813,14","2,86",16,11800,62
30,4,1,15000,"818,69","2,72",16,11741,30
29,4,1,15000,"841,99","2,85",17,11597,55
,,,,"827,9253333333","2,82",,,
,,,,"9,5978276038","0,1169438415",,,
