"BehaviorSpace results (NetLogo 5.3.1)"
"avg_ws_tsB.nlogo"
"20k"
"04/10/2019 18:42:38:886 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"4","4","1","20000","837.91","3.13","22","15500","61"
"2","4","1","20000","831.41","3.26","24","16421","83"
"3","4","1","20000","838.92","3.06","23","16354","70"
"1","4","1","20000","847.61","3.47","23","15976","63"
"6","4","1","20000","829.07","3.15","23","16480","59"
"5","4","1","20000","831.58","3.17","23","16815","69"
"7","4","1","20000","836.61","3.05","23","16326","71"
"8","4","1","20000","844.01","3.25","23","16090","71"
"10","4","1","20000","851.57","3.24","23","16464","65"
"9","4","1","20000","851.72","3.47","23","16613","70"
"12","4","1","20000","840.92","3.16","22","16760","50"
"11","4","1","20000","835.71","3.26","23","16370","76"
"14","4","1","20000","825.82","3.28","23","16486","44"
"13","4","1","20000","850.39","3.14","24","16501","73"
"16","4","1","20000","831.13","3.27","23","16052","52"
"15","4","1","20000","850.8","3.22","22","16635","57"
"17","4","1","20000","837.8","3.19","23","16098","70"
"18","4","1","20000","828.6","3.09","22","16166","64"
"19","4","1","20000","830.9","3.2","22","16611","67"
"20","4","1","20000","837.39","3.26","23","16538","68"
"21","4","1","20000","842.72","3.12","23","16679","69"
"22","4","1","20000","844.92","3.16","23","16361","61"
"23","4","1","20000","830.91","3.31","21","16299","76"
"24","4","1","20000","853.01","3.4","22","16252","67"
"25","4","1","20000","831.89","3.17","23","16104","91"
"26","4","1","20000","850.5","2.94","24","16611","62"
"27","4","1","20000","843.54","3.41","21","16376","75"
"28","4","1","20000","828.36","3.12","24","16279","55"
"29","4","1","20000","852.72","3.33","23","16495","62"
"30","4","1","20000","836.38","3.01","24","16649","80"
