BehaviorSpace results (NetLogo 5.3.1),,,,,,,,
Centralized_CFS.nlogo,,,,,,,,
c_cfs10k,,,,,,,,
05/08/2019 09:19:25:221 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
4,4,1,10000,756.04,0.81,14,5879,9
8,4,1,10000,777.46,0.7,14,6020,7
2,4,1,10000,778.77,0.78,14,5885,8
6,4,1,10000,755.89,0.67,14,5759,6
3,4,1,10000,774.28,0.66,14,5498,7
7,4,1,10000,775.16,0.72,14,5933,7
5,4,1,10000,764.98,0.69,14,6207,6
1,4,1,10000,774.64,0.68,14,6523,12
11,4,1,10000,772.7,0.67,14,6278,6
9,4,1,10000,755.73,0.84,14,5786,9
10,4,1,10000,765.86,0.65,14,6130,7
15,4,1,10000,763.23,0.68,14,6245,12
14,4,1,10000,754.79,0.74,14,5794,12
12,4,1,10000,758.58,0.8,14,5635,8
13,4,1,10000,761.04,0.78,14,5793,11
17,4,1,10000,753.77,0.77,14,5911,8
18,4,1,10000,756.46,0.71,14,6134,5
16,4,1,10000,767.04,0.69,14,5394,11
21,4,1,10000,761.44,0.74,14,5200,6
19,4,1,10000,754,0.72,14,5898,10
20,4,1,10000,755.2,0.79,14,5180,4
22,4,1,10000,764.73,0.71,14,5856,17
23,4,1,10000,780.88,0.71,14,5971,3
25,4,1,10000,774.08,0.75,14,5748,5
24,4,1,10000,763.91,0.7,14,6272,14
29,4,1,10000,745.65,0.74,13,5433,9
27,4,1,10000,751.84,0.72,14,6434,8
28,4,1,10000,767.21,0.72,14,6130,5
26,4,1,10000,759.08,0.7,14,5920,11
30,4,1,10000,770.12,0.77,14,6230,9
,,,,754,,,,
