"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"Centralized_CFS,nlogo",,,,,,,,
c_cfs10k,,,,,,,,
05/08/2019 09:14:21:543 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
4,4,1,10000,"743,7","0,65",14,5847,7
2,4,1,10000,"725,63","0,79",13,4747,9
3,4,1,10000,"737,47","0,72",14,5855,5
8,4,1,10000,"747,97","0,66",14,5991,5
7,4,1,10000,"744,74","0,65",14,6243,11
6,4,1,10000,"747,58","0,7",14,6041,11
5,4,1,10000,"751,61","0,73",14,6458,8
1,4,1,10000,"744,81","0,75",14,6154,6
9,4,1,10000,"737,21","0,78",14,6214,14
10,4,1,10000,"739,91","0,82",14,6403,12
11,4,1,10000,"768,67","0,66",14,6401,14
12,4,1,10000,"747,51","0,7",14,6160,8
13,4,1,10000,"756,92","0,65",14,6212,10
14,4,1,10000,"732,34","0,77",14,5580,11
15,4,1,10000,"733,65","0,66",14,5302,14
17,4,1,10000,"757,76","0,89",14,5429,6
19,4,1,10000,"740,66","0,67",14,6267,9
18,4,1,10000,"766,18","0,75",14,5649,17
16,4,1,10000,"741,32","0,62",14,6046,14
20,4,1,10000,"749,25","0,74",14,6322,6
22,4,1,10000,"747,39","0,75",14,6197,12
21,4,1,10000,"748,79","0,67",14,5228,6
23,4,1,10000,"740,54","0,99",13,5116,9
24,4,1,10000,"749,5","0,7",14,5812,4
26,4,1,10000,"741,96","0,58",14,6471,10
25,4,1,10000,"749,74","0,62",14,5749,6
27,4,1,10000,"748,42","0,68",14,6064,11
28,4,1,10000,"734,56","0,67",14,5873,6
29,4,1,10000,"747,05","0,77",14,6975,7
30,4,1,10000,"747,12","0,75",14,5852,12
,,,,"745,6653333333",,,,
,,,,"9,1859918592",,,,
