"BehaviorSpace results (NetLogo 5.3.1)"
"Centralized_CFS.nlogo"
"c_cfs15k"
"05/08/2019 09:20:33:552 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"4","4","1","15000","768.28","0.68","22","10101","16"
"3","4","1","15000","775.92","0.96","21","10411","11"
"5","4","1","15000","769.18","0.75","22","10203","19"
"2","4","1","15000","766.55","0.68","22","10328","23"
"6","4","1","15000","770.73","0.69","22","10245","16"
"7","4","1","15000","765.35","0.68","22","9768","13"
"1","4","1","15000","769.25","0.66","22","9989","13"
"8","4","1","15000","763.66","0.82","22","10101","12"
"10","4","1","15000","781.07","0.75","22","10100","16"
"12","4","1","15000","774","0.62","22","10206","17"
"11","4","1","15000","771.02","0.71","21","9811","12"
"9","4","1","15000","758.13","0.71","22","9342","12"
"14","4","1","15000","760.76","0.66","21","10192","18"
"13","4","1","15000","767.45","0.81","22","9650","15"
"15","4","1","15000","770.8","0.67","22","10226","15"
"16","4","1","15000","768.03","0.62","22","10086","10"
"18","4","1","15000","760.68","0.73","22","10095","14"
"17","4","1","15000","769.58","0.63","22","10384","18"
"20","4","1","15000","775.91","0.62","22","10049","23"
"19","4","1","15000","757.51","0.87","22","9858","11"
"22","4","1","15000","764.85","0.8","22","9401","10"
"21","4","1","15000","767.63","0.71","22","10436","22"
"24","4","1","15000","768.28","0.67","22","10588","22"
"25","4","1","15000","769.33","0.68","22","10190","13"
"26","4","1","15000","752.43","0.74","22","9726","11"
"28","4","1","15000","762.14","0.66","22","10609","19"
"27","4","1","15000","772.53","0.59","22","10196","12"
"29","4","1","15000","771.57","0.65","22","10213","17"
"23","4","1","15000","775.46","0.66","22","10395","13"
"30","4","1","15000","777.36","0.92","22","9796","12"
