BehaviorSpace results (NetLogo 5.3.1),,,,,,,,
Centralized_CFS.nlogo,,,,,,,,
c_cfs20k,,,,,,,,
05/08/2019 08:35:47:696 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
2,4,1,20000,747.67,0.63,30,13099,22
3,4,1,20000,759.23,0.8,30,13883,25
4,4,1,20000,761.69,0.67,30,15323,20
8,4,1,20000,771.18,0.64,30,14993,23
7,4,1,20000,771.34,0.8,30,14370,24
6,4,1,20000,755.09,0.75,30,13604,22
5,4,1,20000,753.72,0.74,30,14659,28
1,4,1,20000,749.42,0.8,30,13956,26
9,4,1,20000,751.87,0.74,30,14228,27
10,4,1,20000,754.86,0.75,30,14404,17
12,4,1,20000,758.16,0.69,30,14150,29
11,4,1,20000,756.53,0.7,30,14185,20
13,4,1,20000,758.48,0.78,29,14237,23
14,4,1,20000,764.11,0.65,30,14117,24
15,4,1,20000,763.12,0.68,30,14495,17
17,4,1,20000,747.68,0.85,30,14224,29
18,4,1,20000,749.89,0.81,30,14305,18
20,4,1,20000,754.63,0.72,30,14241,29
19,4,1,20000,749.47,0.66,30,14091,17
21,4,1,20000,759.06,0.74,30,14186,20
22,4,1,20000,762.1,0.75,30,13894,32
16,4,1,20000,765.44,0.67,30,14215,21
24,4,1,20000,757.61,0.78,29,14068,27
25,4,1,20000,753.99,0.68,30,14459,27
23,4,1,20000,757.7,0.78,29,14883,27
26,4,1,20000,759.87,0.73,30,14423,26
28,4,1,20000,758.85,0.72,30,13962,28
27,4,1,20000,753.31,0.69,30,14200,27
29,4,1,20000,751.56,0.62,30,14112,24
30,4,1,20000,750.82,0.75,30,14405,30
