"BehaviorSpace results (NetLogo 5.3.1)"
"Centralized_CFS.nlogo"
"c_cfs20k"
"05/08/2019 09:16:54:407 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"4","4","1","20000","767.2","0.64","30","14134","29"
"3","4","1","20000","758.89","0.66","29","14908","16"
"2","4","1","20000","756.89","0.67","30","14104","24"
"5","4","1","20000","764.59","0.84","29","14107","30"
"8","4","1","20000","766.55","0.69","30","14491","22"
"7","4","1","20000","761.32","0.67","30","15071","21"
"6","4","1","20000","760.26","0.71","30","15045","18"
"1","4","1","20000","766.63","0.65","30","14438","16"
"10","4","1","20000","758.87","0.69","30","13751","32"
"9","4","1","20000","752.01","0.73","30","13934","13"
"12","4","1","20000","761.61","0.63","30","14534","27"
"11","4","1","20000","761.54","0.75","29","14265","26"
"13","4","1","20000","760.9","0.69","30","14511","23"
"14","4","1","20000","773.02","0.62","31","15232","29"
"17","4","1","20000","756.55","0.7","30","13967","26"
"18","4","1","20000","772.26","0.73","30","14453","26"
"15","4","1","20000","757.04","0.89","29","13811","23"
"20","4","1","20000","767.39","0.7","30","14460","20"
"19","4","1","20000","774.03","0.67","30","14228","28"
"16","4","1","20000","760.07","0.63","30","15251","19"
"21","4","1","20000","759.04","0.7","30","13685","22"
"22","4","1","20000","759.02","0.7","30","15324","18"
"23","4","1","20000","758.23","0.8","29","14421","20"
"24","4","1","20000","776.09","0.72","30","15265","28"
"26","4","1","20000","763.74","0.68","30","13849","23"
"27","4","1","20000","759.06","0.7","30","14205","19"
"25","4","1","20000","760.25","0.79","29","14030","29"
"28","4","1","20000","756.62","0.66","30","14080","20"
"29","4","1","20000","761.01","0.64","30","14725","23"
"30","4","1","20000","766.34","0.75","30","13785","25"
