"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"Centralized_CFS,nlogo",,,,,,,,
c_cfs10k,,,,,,,,
05/08/2019 08:31:06:977 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
4,4,1,10000,"733,49","0,82",14,5818,10
6,4,1,10000,"730,86","0,63",14,6126,3
7,4,1,10000,"725,55","0,72",14,6153,10
2,4,1,10000,"733,12","0,72",14,6073,14
3,4,1,10000,"736,24","0,74",14,5639,10
5,4,1,10000,"735,91","0,71",14,6016,11
8,4,1,10000,"723,12","0,67",14,5989,4
9,4,1,10000,"733,95","0,75",14,5959,8
10,4,1,10000,"737,86","0,68",14,6160,10
11,4,1,10000,"718,62","0,76",14,5585,7
1,4,1,10000,"730,88","0,79",14,5319,6
13,4,1,10000,"738,39","0,66",14,6159,14
12,4,1,10000,"742,49","0,73",14,5536,8
14,4,1,10000,"739,46","0,66",14,6033,5
16,4,1,10000,"734,57","0,76",14,6031,9
15,4,1,10000,"724,48","0,7",14,6102,4
17,4,1,10000,"739,59","0,78",14,6353,13
18,4,1,10000,"728,99","0,78",14,5786,10
20,4,1,10000,"727,03","0,65",14,5435,14
22,4,1,10000,"728,24","0,6",15,5902,5
21,4,1,10000,"726,24","0,76",14,5827,9
23,4,1,10000,"739,94","0,77",14,6133,15
19,4,1,10000,"733,49","0,63",14,6330,10
26,4,1,10000,"721,39","0,7",14,5777,10
25,4,1,10000,"723,85","0,73",14,5903,14
24,4,1,10000,"734,86","0,72",14,5868,7
27,4,1,10000,"729,43","0,71",14,5739,9
28,4,1,10000,"732,37","0,61",14,6212,11
29,4,1,10000,"730,91","0,73",14,6195,9
30,4,1,10000,"725,83","0,82",14,6094,8
,,,,"731,3716666667","0,7163333333",,"5941,7333333333",
,,,,"6,0795689975","0,0588676677",,"256,9800654195",
