"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"Centralized_CFS,nlogo",,,,,,,,
c_cfs10k,,,,,,,,
07/22/2019 09:16:09:631 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
2,4,1,10000,"997,27","2,72",10,4749,144
6,4,1,10000,"967,83","3,11",10,4086,81
4,4,1,10000,"909,74","3,91",10,3905,111
3,4,1,10000,"966,11","2,34",10,4406,64
5,4,1,10000,"1021,96","2,87",11,4086,140
7,4,1,10000,"1000,22","2,86",11,3931,69
1,4,1,10000,"959,86","3,7",9,4103,153
8,4,1,10000,"958,33","3,16",10,3709,79
10,4,1,10000,"991,9","3,34",11,4587,218
9,4,1,10000,"1003,56","2,73",11,4039,108
12,4,1,10000,"970,21","2,79",8,5449,277
13,4,1,10000,"969,77","3,29",10,4165,136
11,4,1,10000,"972,7","4,13",10,3998,104
14,4,1,10000,"942,41","2,21",12,3567,54
17,4,1,10000,"989,74","3,12",11,4850,228
18,4,1,10000,"966,94","3,08",11,4123,95
15,4,1,10000,"990,23","2,75",11,4250,144
16,4,1,10000,"931,13","3,37",10,4695,157
20,4,1,10000,"997,34","3,24",10,4406,137
19,4,1,10000,"972,02","2,73",9,5832,255
21,4,1,10000,"929,25","3,64",9,5390,276
23,4,1,10000,"976,38","3,13",10,4855,127
22,4,1,10000,"940,42","3,12",10,5259,242
24,4,1,10000,"978,19","3,53",10,4553,124
27,4,1,10000,"963,42","2,52",10,4592,63
28,4,1,10000,"981,04","3,83",10,4797,197
25,4,1,10000,"1008,68","3,37",10,5061,215
29,4,1,10000,"1005,02","2,83",9,5571,234
26,4,1,10000,"957,06","3,12",11,4522,138
30,4,1,10000,"1017,3","3,07",10,5574,216
,,,,"974,5343333333","3,1203333333",,"4570,3333333333",
,,,,"26,9168734009","0,4497699284",,"599,9808809214",
