BehaviorSpace results (NetLogo 5.3.1),,,,,,,,
Centralized_CFS.nlogo,,,,,,,,
c_cfs10k,,,,,,,,
05/13/2019 19:50:24:551 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
2,4,1,10000,774.43,0.68,14,7418,33
4,4,1,10000,771,0.73,14,7906,34
3,4,1,10000,761.79,0.69,14,7415,33
1,4,1,10000,772.25,0.7,13,7916,49
6,4,1,10000,758.11,0.7,14,7352,31
5,4,1,10000,769.02,0.68,14,7334,20
7,4,1,10000,757.04,0.73,14,7787,26
8,4,1,10000,762.97,0.66,14,7693,30
9,4,1,10000,749.08,0.81,14,6949,32
10,4,1,10000,762.3,0.7,14,7142,37
11,4,1,10000,764.45,0.72,14,7594,30
13,4,1,10000,760.49,1.03,14,6921,26
14,4,1,10000,749.06,0.93,14,7153,26
15,4,1,10000,781.39,0.74,14,7114,27
12,4,1,10000,768.7,0.73,14,7539,47
16,4,1,10000,754.12,0.78,14,7099,23
17,4,1,10000,769.77,0.73,14,7847,35
18,4,1,10000,751.4,0.88,14,7315,29
19,4,1,10000,762.72,0.75,14,7858,24
20,4,1,10000,782.97,0.77,14,7073,42
21,4,1,10000,762.54,0.71,14,7023,28
22,4,1,10000,761.74,1.02,13,7225,40
24,4,1,10000,754.81,0.9,14,6690,16
25,4,1,10000,781.78,0.89,14,8132,43
26,4,1,10000,764.7,0.7,14,7391,28
23,4,1,10000,772.88,0.75,14,7651,41
27,4,1,10000,765.54,0.77,14,7779,37
28,4,1,10000,767.44,0.85,13,7765,24
29,4,1,10000,759.55,0.9,13,7077,22
30,4,1,10000,766.23,0.74,14,6852,21
,,,,764.6756666667,0.779,,7400.3333333333,
,,,,8.8852274468,0.1001843129,,373.0522135345,
,,,,749.06,0.66,,6690,
,,,,782.97,1.03,,8132,
