"BehaviorSpace results (NetLogo 5.3.1)"
"Centralized_CFS.nlogo"
"c_cfs20k"
"05/08/2019 09:21:50:071 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"3","4","1","20000","759.05","0.66","30","14003","19"
"4","4","1","20000","767.52","0.63","30","14579","17"
"2","4","1","20000","764.76","0.74","30","14087","15"
"8","4","1","20000","775.3","0.68","30","13999","23"
"7","4","1","20000","766.62","0.61","30","14136","29"
"5","4","1","20000","763.19","0.71","30","13801","17"
"6","4","1","20000","774.92","0.74","30","14566","24"
"1","4","1","20000","768.43","0.79","30","14810","28"
"9","4","1","20000","765.34","0.63","29","14074","22"
"10","4","1","20000","771.89","0.79","29","14353","20"
"11","4","1","20000","769.82","0.75","30","14537","23"
"12","4","1","20000","773.03","0.74","30","14611","27"
"14","4","1","20000","767.04","0.69","30","14598","22"
"13","4","1","20000","771.8","0.67","30","14633","24"
"15","4","1","20000","774.39","0.73","30","14249","20"
"17","4","1","20000","764.46","0.74","30","13470","16"
"18","4","1","20000","762.74","0.63","30","14500","21"
"19","4","1","20000","769.14","0.76","30","13910","25"
"16","4","1","20000","765.68","0.74","30","13342","13"
"20","4","1","20000","767.75","0.7","30","14346","22"
"22","4","1","20000","774.12","0.82","30","14774","12"
"21","4","1","20000","764.05","0.67","30","14100","23"
"25","4","1","20000","766.44","0.74","30","13987","25"
"24","4","1","20000","784.1","0.85","29","14240","28"
"23","4","1","20000","780.45","0.66","30","14110","21"
"26","4","1","20000","772.46","0.69","29","13519","23"
"28","4","1","20000","766.4","0.6","30","13226","19"
"27","4","1","20000","769.02","0.73","30","14336","32"
"29","4","1","20000","771.62","0.68","30","13922","23"
"30","4","1","20000","781.65","0.64","30","13919","20"
