"BehaviorSpace results (NetLogo 5.3.1)"
"Centralized_CFS.nlogo"
"c_cfs20k"
"05/08/2019 10:18:11:835 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"3","4","1","20000","873.46","17.17","11","4943","30"
"7","4","1","20000","857.53","15.07","12","5652","48"
"6","4","1","20000","893.68","15.68","11","5565","24"
"4","4","1","20000","856.96","16.98","11","5014","32"
"5","4","1","20000","864","14.11","10","5272","38"
"1","4","1","20000","899.37","15.32","9","5403","35"
"8","4","1","20000","891.11","16.48","10","5119","51"
"9","4","1","20000","884.58","16.24","11","5291","22"
"10","4","1","20000","862.69","16.31","9","5250","32"
"2","4","1","20000","868.78","15.25","9","5444","40"
"11","4","1","20000","870.14","17.68","14","4854","40"
"13","4","1","20000","872.44","18.33","12","5000","38"
"12","4","1","20000","886.64","16.6","9","5127","46"
"14","4","1","20000","879.21","16.83","8","5473","39"
"16","4","1","20000","854.78","15.18","8","5451","25"
"17","4","1","20000","914.65","19.82","8","4927","41"
"20","4","1","20000","902.21","16.78","10","4993","40"
"15","4","1","20000","828.36","14.14","13","5548","30"
"19","4","1","20000","856.41","14.91","13","5640","36"
"21","4","1","20000","894.58","17.01","11","5251","26"
"23","4","1","20000","865.95","15.39","12","5491","37"
"24","4","1","20000","900.38","17.47","10","5365","45"
"22","4","1","20000","903.16","17.01","11","5165","34"
"18","4","1","20000","893.41","15.91","10","5190","48"
"25","4","1","20000","878.87","15.87","13","5247","31"
"27","4","1","20000","852.37","15.34","12","5017","76"
"28","4","1","20000","892.15","14.89","11","5543","30"
"26","4","1","20000","853.21","14.38","13","5367","30"
"29","4","1","20000","873.5","17.85","12","5521","37"
"30","4","1","20000","856.5","16.98","10","5226","37"
