"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"Centralized_CFS,nlogo",,,,,,,,
c_cfs10k,,,,,,,,
05/08/2019 11:32:56:524 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
2,4,1,10000,"827,67","2,05",11,2918,3
3,4,1,10000,"806,42","1,52",12,2661,2
4,4,1,10000,"869,52","2,38",10,2589,2
7,4,1,10000,"817,99","1,9",11,2380,2
5,4,1,10000,"814,12","2,09",11,2424,3
6,4,1,10000,"800,51","1,71",12,2575,1
8,4,1,10000,"817,49","2,26",12,2045,2
1,4,1,10000,"857,75","1,4",12,2858,5
9,4,1,10000,"865,85","1,48",13,2411,0
10,4,1,10000,"842,74","2,16",11,2463,2
14,4,1,10000,"822,65","2,02",12,2503,2
11,4,1,10000,"861,82","1,6",12,2366,1
12,4,1,10000,"830,36","1,79",12,2771,4
13,4,1,10000,"834,71","1,53",11,2966,3
15,4,1,10000,"812,16","1,7",10,2992,4
17,4,1,10000,"919,22","1,73",12,2557,3
18,4,1,10000,"870,51","1,68",12,2376,2
16,4,1,10000,"825,37","2,21",11,2344,1
20,4,1,10000,"810,95","1,57",11,2710,0
21,4,1,10000,"865,85","2,28",12,2452,5
19,4,1,10000,"872,13","2,3",11,2443,5
22,4,1,10000,"829,32","1,72",12,2468,2
24,4,1,10000,"830,98","1,58",13,2428,1
25,4,1,10000,"889,12","1,79",11,2760,1
29,4,1,10000,"800,33","1,64",12,2578,2
27,4,1,10000,"816,64","1,71",12,2592,5
28,4,1,10000,"840,44","1,65",12,2781,6
23,4,1,10000,"861,46","2,05",11,2599,2
30,4,1,10000,"825,01","1,42",13,2181,0
26,4,1,10000,"810,17","1,85",11,2328,5
,,,,"838,3086666667",,,,
,,,,"28,8978916703",,,,
,,,,.,,,,
