"BehaviorSpace results (NetLogo 5.3.1)"
"Centralized_CFS.nlogo"
"c_cfs20k"
"05/08/2019 11:41:47:830 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"7","4","1","20000","874.38","1.55","28","8647","7"
"3","4","1","20000","846.85","1.5","28","8968","4"
"5","4","1","20000","856.34","1.78","27","7463","7"
"6","4","1","20000","839.74","1.88","27","8501","8"
"2","4","1","20000","861.35","1.7","27","6240","8"
"4","4","1","20000","846.49","1.61","27","7777","5"
"8","4","1","20000","874.8","1.64","27","7953","7"
"1","4","1","20000","846.65","1.91","27","7706","7"
"10","4","1","20000","843.63","1.68","27","7436","12"
"9","4","1","20000","863.19","1.53","28","7700","11"
"11","4","1","20000","876.37","1.49","28","6850","1"
"12","4","1","20000","856.09","1.96","26","7595","7"
"13","4","1","20000","850.23","1.51","27","7690","7"
"14","4","1","20000","855.67","1.37","28","7647","10"
"17","4","1","20000","851","1.87","26","6566","13"
"15","4","1","20000","867.26","1.63","28","8008","12"
"19","4","1","20000","843.65","1.51","28","6323","11"
"18","4","1","20000","868.69","1.6","27","6703","4"
"16","4","1","20000","842.77","1.56","28","6697","5"
"20","4","1","20000","849.02","1.7","27","7641","10"
"22","4","1","20000","844.04","1.98","27","7167","6"
"21","4","1","20000","842.44","1.59","28","8350","10"
"23","4","1","20000","848.44","1.73","27","7851","15"
"25","4","1","20000","873.4","1.72","28","7777","8"
"26","4","1","20000","848.83","1.37","28","8442","6"
"28","4","1","20000","861.9","1.33","27","8122","17"
"29","4","1","20000","891.23","1.87","27","7119","6"
"30","4","1","20000","847.98","1.61","28","7457","10"
"24","4","1","20000","833.91","1.71","27","7459","9"
"27","4","1","20000","866.7","1.64","28","8461","9"
