"BehaviorSpace results (NetLogo 5.3.1)"
"NCDrones_Max.nlogo"
"max_evap20k"
"04/08/2019 10:16:34:729 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"8","4","1","20000","825.91","3.07","24","15623","26"
"3","4","1","20000","825.66","3.08","24","15539","38"
"5","4","1","20000","817.8","2.67","25","15747","31"
"6","4","1","20000","829.49","2.98","22","15675","29"
"7","4","1","20000","824.75","2.53","24","16149","20"
"4","4","1","20000","814.1","2.93","24","15845","31"
"2","4","1","20000","835.68","3.09","23","15221","21"
"9","4","1","20000","821.33","3.14","23","15085","28"
"11","4","1","20000","825.86","3.11","24","15460","32"
"12","4","1","20000","817.67","3.03","24","15902","29"
"13","4","1","20000","820.1","2.8","25","15442","24"
"14","4","1","20000","816.12","2.79","23","15817","15"
"10","4","1","20000","810.45","2.98","23","15101","19"
"15","4","1","20000","833.04","2.91","24","16130","30"
"18","4","1","20000","832.68","3.26","23","15395","25"
"17","4","1","20000","818.28","2.77","24","15016","33"
"19","4","1","20000","822.94","2.63","25","15858","20"
"16","4","1","20000","827.7","2.81","25","15779","23"
"20","4","1","20000","820.22","2.87","24","15637","23"
"22","4","1","20000","818.02","2.68","25","15554","26"
"21","4","1","20000","831.71","2.74","24","16029","17"
"24","4","1","20000","811.17","2.99","24","15502","19"
"23","4","1","20000","817.99","2.92","24","16050","30"
"27","4","1","20000","818.94","2.93","24","16175","31"
"28","4","1","20000","834.9","2.95","24","15585","30"
"26","4","1","20000","818.31","2.72","24","15993","27"
"25","4","1","20000","833.3","2.92","24","15740","25"
"29","4","1","20000","817.28","2.85","25","15708","29"
"30","4","1","20000","815.28","2.73","24","15360","15"
"1","4","1","20000","824.5","2.81","25","15582","22"
