"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"max_ws_tsB,nlogo",,,,,,,,
20k,,,,,,,,
04/10/2019 17:01:47:031 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
4,4,1,20000,"830,24","2,76",24,16056,79
6,4,1,20000,"843,13","2,81",25,15990,76
3,4,1,20000,"843,74","2,63",25,15939,89
7,4,1,20000,"828,35","3,03",24,15762,81
5,4,1,20000,"846,33","2,67",25,15782,80
8,4,1,20000,"835,15","2,88",25,16303,68
2,4,1,20000,"835,76","2,72",24,15585,85
1,4,1,20000,"844,62","2,9",25,15899,69
10,4,1,20000,"836,15","2,74",25,15784,81
9,4,1,20000,"818,56","3,01",24,15789,68
12,4,1,20000,"840,73","2,92",24,16339,93
11,4,1,20000,"852,35","2,56",23,16145,86
13,4,1,20000,"835,12","2,82",24,15637,89
15,4,1,20000,"848,44","3,05",24,16101,96
16,4,1,20000,"841,09","2,72",25,16277,73
14,4,1,20000,"853,77","2,54",25,16293,77
18,4,1,20000,835,"2,9",24,16191,69
17,4,1,20000,"845,52","2,72",25,16146,109
20,4,1,20000,"834,12","2,87",23,16306,81
21,4,1,20000,"827,23","2,65",26,15852,100
19,4,1,20000,"848,42","2,59",25,15645,97
22,4,1,20000,"845,72","2,6",24,15822,69
23,4,1,20000,"826,29","2,64",24,16415,65
24,4,1,20000,"850,39","2,66",25,15849,85
27,4,1,20000,"838,63","3,11",24,15562,63
25,4,1,20000,"830,69","2,84",23,16135,88
26,4,1,20000,"827,33","2,84",25,15530,91
30,4,1,20000,"837,45","2,8",24,16402,66
28,4,1,20000,"836,35","2,65",25,16216,66
29,4,1,20000,"836,4","3,02",24,16021,93
,,,,"838,4356666667","2,7883333333",,,
,,,,"8,5745813946","0,1574600843",,,
