"BehaviorSpace results (NetLogo 5.3.1)"
"multi_pes.nlogo"
"multi_pes15k"
"05/07/2019 14:14:36:738 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"7","4","1","15000","892.35","1.27","20","14817","1085"
"8","4","1","15000","910.07","1.4","19","14140","1203"
"4","4","1","15000","910.68","1","21","16011","1067"
"3","4","1","15000","886.5","1.48","20","15360","1012"
"5","4","1","15000","901.17","1.32","20","15304","1293"
"2","4","1","15000","895.79","1.38","20","16313","1154"
"6","4","1","15000","897.33","1.47","19","16191","1209"
"1","4","1","15000","917.46","1.4","20","15916","1017"
"9","4","1","15000","895.68","1.26","19","14965","1063"
"10","4","1","15000","898.61","1.23","20","16050","988"
"11","4","1","15000","933.12","1.77","19","16068","1330"
"12","4","1","15000","907.12","1.3","20","16803","1156"
"14","4","1","15000","881.88","1.43","20","15099","997"
"13","4","1","15000","903.96","1.36","20","15517","1015"
"15","4","1","15000","892.55","1.36","19","15294","1210"
"16","4","1","15000","925.59","1.45","20","15488","1184"
"17","4","1","15000","903.55","1.38","20","14987","927"
"18","4","1","15000","895.55","1.61","19","16348","1170"
"19","4","1","15000","897.89","1.32","19","16023","1049"
"20","4","1","15000","904.55","1.44","20","16182","1088"
"22","4","1","15000","919.21","1.35","20","16496","1259"
"21","4","1","15000","902.69","1.5","19","17049","1125"
"23","4","1","15000","906.74","1.29","20","15833","1077"
"25","4","1","15000","905.73","1.26","20","15982","1141"
"24","4","1","15000","916.98","1.19","19","15376","1060"
"27","4","1","15000","896.92","1.13","21","15124","834"
"26","4","1","15000","913.47","1.35","20","16367","1238"
"28","4","1","15000","904.47","1.22","20","15662","1170"
"30","4","1","15000","911.35","1.11","20","15410","1101"
"29","4","1","15000","895.57","1.47","20","15493","1041"
