"BehaviorSpace results (NetLogo 5.3.1)"
"multi_pes.nlogo"
"multi_pes10k"
"05/14/2019 17:26:13:105 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"4","4","1","10000","824.49","1.09","13","8775","290"
"2","4","1","10000","840.75","0.95","13","9597","415"
"7","4","1","10000","832.56","1.1","12","9543","392"
"3","4","1","10000","818.39","1.24","12","9021","358"
"6","4","1","10000","819.27","1.27","12","9202","326"
"5","4","1","10000","848.43","1.12","12","9154","343"
"1","4","1","10000","838.93","0.97","13","8847","359"
"8","4","1","10000","828.94","1.37","12","9539","419"
"11","4","1","10000","832.39","1.08","12","8994","325"
"9","4","1","10000","829.35","1.56","11","9202","409"
"10","4","1","10000","835.18","1.5","12","9431","428"
"12","4","1","10000","826.46","1.32","12","9428","408"
"13","4","1","10000","830.45","1.12","13","9503","331"
"14","4","1","10000","842.22","1.01","13","8772","297"
"16","4","1","10000","836.06","1.2","13","9061","370"
"15","4","1","10000","838.74","1.21","13","8987","393"
"17","4","1","10000","825.45","1.15","12","9162","408"
"18","4","1","10000","816.76","1.24","11","9066","364"
"19","4","1","10000","817.49","1.3","11","9399","339"
"20","4","1","10000","834.34","1.02","11","9255","485"
"21","4","1","10000","823.25","1","13","9412","348"
"22","4","1","10000","814.45","1.45","11","9392","387"
"23","4","1","10000","853.74","1.49","11","9145","431"
"24","4","1","10000","850.44","1.13","12","9421","363"
"25","4","1","10000","847.88","1.33","11","8998","383"
"26","4","1","10000","836.45","1.16","12","9348","403"
"29","4","1","10000","840.07","1.07","13","9246","450"
"27","4","1","10000","824.84","1.15","12","9263","310"
"30","4","1","10000","815.98","1.39","12","8991","325"
"28","4","1","10000","838.74","1.39","10","9091","379"
