"BehaviorSpace results (NetLogo 5.3.1)"
"multi_pes_time.nlogo"
"multi_pes_ts10k"
"05/10/2019 15:12:14:986 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"6","4","1","10000","864.66","1.37","11","8892","549"
"3","4","1","10000","864.23","1.34","12","9096","540"
"2","4","1","10000","866.86","1.26","12","8801","591"
"5","4","1","10000","873.42","1.47","13","10221","608"
"4","4","1","10000","886.68","1.42","12","9772","636"
"7","4","1","10000","879.3","1.19","13","8733","526"
"8","4","1","10000","850.59","1.26","12","9375","474"
"1","4","1","10000","859.13","1.09","13","9016","467"
"12","4","1","10000","847.24","1.3","13","9051","500"
"9","4","1","10000","854.36","1.32","12","9527","568"
"10","4","1","10000","844.06","1.4","12","8870","530"
"11","4","1","10000","863.2","1.6","12","9514","677"
"13","4","1","10000","857.38","1.15","13","9910","554"
"14","4","1","10000","860.96","1.16","12","9268","537"
"15","4","1","10000","847.71","1.16","13","8555","470"
"16","4","1","10000","849.38","1.41","11","9294","532"
"17","4","1","10000","857.21","1.38","12","9130","518"
"18","4","1","10000","882.14","1.22","12","9432","517"
"19","4","1","10000","863.63","1.48","11","9700","574"
"20","4","1","10000","850.76","1.17","12","9587","518"
"21","4","1","10000","851.8","1.25","12","8843","460"
"22","4","1","10000","861.63","1.19","13","8218","454"
"23","4","1","10000","864.82","1.57","12","8356","523"
"24","4","1","10000","873.5","1.38","12","9580","639"
"25","4","1","10000","857.02","1.32","12","9559","530"
"27","4","1","10000","858.01","1.19","13","9109","478"
"26","4","1","10000","845.25","1.57","11","9335","595"
"28","4","1","10000","864.65","1.31","13","8853","499"
"29","4","1","10000","858.29","1.54","12","9221","570"
"30","4","1","10000","862.31","1.36","12","9789","710"
