"BehaviorSpace results (NetLogo 5.3.1)"
"multi_ws_tsB.nlogo"
"multi_ws_ts15k"
"04/09/2019 17:10:21:231 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"8","4","1","15000","865.13","1.25","21","13096","590"
"3","4","1","15000","876.95","1.59","20","14681","715"
"4","4","1","15000","877.05","1.36","20","14450","661"
"5","4","1","15000","875.89","1.25","21","14410","625"
"7","4","1","15000","873.4","1.57","20","14034","633"
"6","4","1","15000","880.24","1.47","20","15081","803"
"2","4","1","15000","873.55","1.41","20","14370","641"
"1","4","1","15000","866.66","1.18","21","14189","657"
"9","4","1","15000","896.85","1.8","20","13751","662"
"10","4","1","15000","866.8","1.41","21","13656","560"
"12","4","1","15000","874.93","1.47","20","14350","667"
"11","4","1","15000","875.68","1.17","20","14075","564"
"13","4","1","15000","876.37","1.38","20","14061","619"
"14","4","1","15000","892.14","1.24","21","14486","814"
"15","4","1","15000","864.7","1.45","20","14317","647"
"16","4","1","15000","867.71","1.3","20","13581","597"
"17","4","1","15000","876.21","1.7","20","14743","734"
"18","4","1","15000","865.71","1.43","21","14150","616"
"20","4","1","15000","876.98","2.1","20","14359","732"
"21","4","1","15000","881.58","1.28","20","14795","708"
"22","4","1","15000","857.02","1.44","20","14041","545"
"19","4","1","15000","873.71","1.43","20","14535","712"
"23","4","1","15000","873.13","1.21","20","13885","663"
"24","4","1","15000","866.54","1.27","21","13606","573"
"26","4","1","15000","872.65","1.33","21","14083","582"
"25","4","1","15000","858.86","1.51","20","13595","575"
"27","4","1","15000","879.65","1.43","20","14293","760"
"29","4","1","15000","876.81","1.42","20","14105","694"
"30","4","1","15000","866.04","1.36","21","13751","603"
"28","4","1","15000","876.86","1.28","21","14411","622"
