"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"multi_ws_tsB,nlogo",,,,,,,,
multi_ws_ts20k,,,,,,,,
04/09/2019 16:44:28:787 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
3,4,1,20000,"892,79","1,22",28,19900,891
4,4,1,20000,"893,71","1,72",29,19060,875
5,4,1,20000,"890,71","1,52",29,19616,1006
2,4,1,20000,"899,55","1,93",28,20274,960
8,4,1,20000,"891,19","1,48",27,20645,1064
6,4,1,20000,"880,91","1,45",28,20024,945
1,4,1,20000,"875,19","1,69",28,19438,890
7,4,1,20000,"901,09","2,11",28,20058,972
10,4,1,20000,"887,6","1,5",27,19535,969
9,4,1,20000,"877,8","1,36",28,19691,955
12,4,1,20000,"885,6","1,4",28,20044,975
11,4,1,20000,"888,01","1,35",28,19661,954
13,4,1,20000,"899,7","1,44",27,19713,944
16,4,1,20000,"894,33","1,53",28,20032,1068
15,4,1,20000,"889,01","1,35",27,20150,1001
14,4,1,20000,"881,81","1,44",28,20108,1014
17,4,1,20000,"882,57","1,52",28,19648,957
18,4,1,20000,"892,16","1,56",28,20848,1051
19,4,1,20000,"882,46","1,42",29,19601,842
20,4,1,20000,"887,54","1,58",29,19371,882
21,4,1,20000,"878,19","1,67",29,19013,951
22,4,1,20000,"888,41","1,72",27,19761,878
23,4,1,20000,"888,06","1,2",28,19501,956
24,4,1,20000,"881,27","1,55",28,19551,894
25,4,1,20000,"885,4","1,27",29,20143,1021
27,4,1,20000,"873,92","2,08",28,19201,843
26,4,1,20000,"885,65","1,64",28,20076,854
29,4,1,20000,"889,43","1,44",28,20080,973
28,4,1,20000,"890,32","1,42",28,20735,1068
30,4,1,20000,"904,01","1,51",28,20826,1088
,,,,"887,9463333333","1,5356666667",,,
,,,,"7,4556682826","0,2176153413",,,
