"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"NCDrones_AVG_infrange,nlogo",,,,,,,,
avg_infrange10k,,,,,,,,
04/04/2019 08:53:35:241 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
4,4,1,10000,"816,46","2,37",10,6738,11
3,4,1,10000,"794,58","2,33",11,7045,11
2,4,1,10000,"801,64","2,13",10,6710,13
5,4,1,10000,"787,78","2,22",11,6605,8
6,4,1,10000,"816,05","2,52",10,6909,7
7,4,1,10000,"801,87","2,11",10,6315,5
1,4,1,10000,"798,47","2,31",10,6830,11
8,4,1,10000,"793,34","2,22",10,6393,12
10,4,1,10000,"789,06","2,15",11,6500,9
11,4,1,10000,"781,41","2,07",11,6405,13
9,4,1,10000,"802,15","2,34",11,6533,5
13,4,1,10000,"818,31","2,14",10,6054,6
12,4,1,10000,"781,54","2,23",11,6105,5
18,4,1,10000,"801,06","2,2",10,6301,8
16,4,1,10000,"800,98","2,44",10,6344,7
15,4,1,10000,"790,31","2,36",10,6487,9
17,4,1,10000,"798,52","2,3",11,6123,10
19,4,1,10000,"805,62","2,34",11,5970,6
14,4,1,10000,"817,9","2,39",10,6688,5
20,4,1,10000,"786,26","2,06",11,5719,4
21,4,1,10000,"799,27","2,34",10,6404,13
22,4,1,10000,"831,51","2,54",10,6289,13
25,4,1,10000,"790,74","2,13",11,6212,10
26,4,1,10000,"798,96","2,12",11,6600,10
28,4,1,10000,"780,5","2,21",11,6247,3
24,4,1,10000,"799,23","2,07",11,6502,12
23,4,1,10000,"822,05","2,37",10,6193,6
27,4,1,10000,"814,16","2,34",10,6030,10
29,4,1,10000,"804,58","2,18",11,6155,6
30,4,1,10000,"797,68","2,49",10,6981,8
,,,,"800,733","2,2673333333",,,
,,,,"12,7347334294","0,1372873486",,,
