"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"NCDrones_Max,nlogo",,,,,,,,
max10k,,,,,,,,
03/29/2019 09:27:08:010 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
1,4,1,10000,"831,51","1,67",12,3197,10
7,4,1,10000,"822,2","2,12",10,2828,3
4,4,1,10000,"840,68","2,47",7,3267,4
6,4,1,10000,"803,74","2,07",10,3047,3
3,4,1,10000,"803,6","1,94",11,3633,3
5,4,1,10000,"868,86","1,7",10,3330,2
8,4,1,10000,"836,58","1,83",10,4180,5
2,4,1,10000,"812,15","1,63",11,3185,1
9,4,1,10000,"809,74","2,13",9,3304,5
10,4,1,10000,"800,69","2,09",10,2757,3
11,4,1,10000,"812,2","2,14",9,3357,3
13,4,1,10000,"832,75","2,4",9,3944,2
12,4,1,10000,"826,5","1,87",10,3422,6
14,4,1,10000,"807,65","1,91",10,3477,3
15,4,1,10000,"832,82","2,46",10,3836,2
17,4,1,10000,"802,76","2,1",10,3048,4
19,4,1,10000,"813,3","2,06",9,3796,4
18,4,1,10000,"799,29","2,23",11,3263,3
20,4,1,10000,"856,44","2,27",7,3747,3
21,4,1,10000,"797,69","2,43",8,3766,3
16,4,1,10000,"797,04","1,87",10,3629,8
22,4,1,10000,"813,95","2,1",9,3778,5
23,4,1,10000,"804,81","1,94",11,3395,6
24,4,1,10000,"801,34","2,31",10,2938,2
25,4,1,10000,"800,23","1,74",10,3323,5
26,4,1,10000,"810,98","1,86",11,3931,7
27,4,1,10000,"819,01","1,82",10,3573,2
28,4,1,10000,"818,92","2,23",9,3658,3
30,4,1,10000,"839,17","2,56",8,4094,6
29,4,1,10000,"852,82","1,8",10,3630,5
,,,,,"2,0583333333",,,
,,,,,"0,2576161718",,,
