"BehaviorSpace results (NetLogo 5.3.1)"
"NCDrones_Max.nlogo"
"max10k"
"03/29/2019 10:05:08:458 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"2","4","1","10000","815.75","1.72","12","2424","2"
"3","4","1","10000","812.5","2.37","11","2520","0"
"4","4","1","10000","779.25","1.79","11","2663","2"
"6","4","1","10000","810.98","1.66","12","2567","3"
"5","4","1","10000","802.55","2.1","12","2574","0"
"8","4","1","10000","810.42","1.62","12","2561","1"
"1","4","1","10000","838.1","1.99","11","2418","2"
"7","4","1","10000","817.34","1.6","11","2440","1"
"9","4","1","10000","828.97","1.77","12","2868","4"
"12","4","1","10000","804.63","1.76","11","3113","2"
"10","4","1","10000","825.35","1.86","10","2777","2"
"11","4","1","10000","793.83","2.11","11","2458","0"
"13","4","1","10000","814.08","1.66","12","2661","5"
"14","4","1","10000","821","2.21","10","3000","0"
"18","4","1","10000","825.01","1.89","12","2503","1"
"17","4","1","10000","838.94","1.55","12","2456","6"
"19","4","1","10000","848.02","1.9","12","2631","2"
"15","4","1","10000","842.19","2.21","11","2801","4"
"20","4","1","10000","828.9","1.8","12","2704","2"
"16","4","1","10000","815.6","1.94","11","2821","3"
"21","4","1","10000","830.6","2.41","10","2771","2"
"23","4","1","10000","802.26","2.02","11","2836","6"
"24","4","1","10000","821.63","1.94","11","2868","2"
"25","4","1","10000","791.09","2.04","10","2722","2"
"27","4","1","10000","846.19","1.73","12","2587","0"
"22","4","1","10000","810.84","1.53","12","2700","1"
"29","4","1","10000","827.72","1.86","12","2790","2"
"26","4","1","10000","847","1.87","12","2719","5"
"28","4","1","10000","851.76","1.5","12","2881","4"
"30","4","1","10000","826","1.96","11","2924","2"
