"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"NCDrones_Max_Infrange,nlogo",,,,,,,,
max10k250,,,,,,,,
04/04/2019 09:00:35:706 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
2,4,1,10000,"847,77","2,82",7,4707,1
4,4,1,10000,"835,71","2,82",8,4759,5
3,4,1,10000,"842,19","2,96",8,4858,4
5,4,1,10000,"831,87","2,84",8,4853,2
6,4,1,10000,"837,3","3,07",7,5367,7
8,4,1,10000,"848,32","2,53",9,4595,6
7,4,1,10000,"822,94","2,88",8,5302,5
1,4,1,10000,"885,58","3,33",7,4452,4
10,4,1,10000,"842,52","2,73",9,5253,8
9,4,1,10000,"857,5","3,4",7,4470,1
13,4,1,10000,"834,06","2,86",8,5194,3
12,4,1,10000,"861,19","2,85",8,5006,7
11,4,1,10000,"849,9","3,03",8,4302,2
14,4,1,10000,"846,72","3,2",7,4834,0
15,4,1,10000,"836,88","3,01",8,4861,6
17,4,1,10000,"863,16","3,05",8,4891,3
18,4,1,10000,"853,88",3,8,4522,10
19,4,1,10000,"904,87","2,77",9,4203,6
21,4,1,10000,"826,04","3,1",8,4720,4
20,4,1,10000,"845,54","3,26",7,4436,1
16,4,1,10000,"855,97","3,11",8,5126,11
22,4,1,10000,"831,32","3,14",7,4589,4
24,4,1,10000,"834,4","3,01",8,5087,5
25,4,1,10000,"836,12","2,73",8,5044,1
28,4,1,10000,"861,1","3,21",8,4666,5
26,4,1,10000,"871,55","2,89",8,4826,5
27,4,1,10000,"827,56","2,96",9,3786,3
23,4,1,10000,"853,63","3,14",8,4145,4
29,4,1,10000,"846,31","2,99",8,4189,6
30,4,1,10000,"839,34","3,02",7,4468,11
,,,,"847,708","2,9903333333",,,
,,,,"17,7366655887","0,1920754761",,,
