"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"NCDrones_Max,nlogo",,,,,,,,
max15k,,,,,,,,
03/29/2019 10:05:58:608 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
2,4,1,15000,"851,06","1,42",19,4928,4
5,4,1,15000,"859,65","1,74",19,4912,4
4,4,1,15000,"837,85","1,66",20,5062,5
7,4,1,15000,"831,5","1,99",19,5354,4
6,4,1,15000,"814,96","1,91",19,5124,8
3,4,1,15000,"840,87","1,7",19,5368,7
1,4,1,15000,"853,55","1,82",18,4674,9
8,4,1,15000,"816,18","2,04",19,5102,2
12,4,1,15000,"848,72","1,67",18,5420,7
9,4,1,15000,"843,23","1,48",20,5068,6
11,4,1,15000,"817,69","1,79",18,4952,5
10,4,1,15000,"851,9","1,87",18,5105,7
13,4,1,15000,"827,35","2,18",19,5695,6
14,4,1,15000,"842,88","2,18",17,4486,3
15,4,1,15000,"823,08","1,34",21,5107,6
16,4,1,15000,"846,02","1,67",19,5539,10
18,4,1,15000,"829,77","1,71",19,4705,6
17,4,1,15000,"834,08","1,57",20,4998,2
19,4,1,15000,"832,42","1,88",18,5344,6
20,4,1,15000,"860,25","1,8",20,4310,3
21,4,1,15000,"821,21","1,77",20,4465,4
22,4,1,15000,"829,01","1,81",19,5285,12
26,4,1,15000,"834,28","1,97",20,4554,8
25,4,1,15000,"835,73","1,84",19,5155,5
23,4,1,15000,"826,2","1,89",18,4926,3
27,4,1,15000,"860,76","2,2",17,6511,6
28,4,1,15000,"837,26","1,9",18,5406,4
24,4,1,15000,"827,76","1,95",19,4911,3
29,4,1,15000,"832,21","1,63",19,5423,5
30,4,1,15000,"821,98","1,6",20,4599,2
,,,,,"1,7993333333",,,
,,,,,"0,211218686",,,
