"BehaviorSpace results (NetLogo 5.3.1)"
"NCDrones_Max.nlogo"
"max20k"
"03/29/2019 09:36:59:894 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"3","4","1","20000","828.24","2.12","23","10311","7"
"2","4","1","20000","845.1","2.99","24","10969","9"
"6","4","1","20000","884.86","2.89","24","10543","9"
"5","4","1","20000","857.4","3.1","23","10491","12"
"4","4","1","20000","847.56","2.95","23","12159","12"
"8","4","1","20000","857","2.98","21","12160","7"
"7","4","1","20000","879.43","2.99","20","12429","15"
"9","4","1","20000","839.14","2.55","23","10297","14"
"13","4","1","20000","846.55","2.8","22","10416","11"
"1","4","1","20000","843.35","2.53","22","10776","13"
"11","4","1","20000","865.32","2.82","21","11001","11"
"12","4","1","20000","850.11","2.63","22","11270","12"
"10","4","1","20000","847.45","2.46","23","10470","5"
"14","4","1","20000","844.28","2.86","22","10744","12"
"15","4","1","20000","832.78","2.56","23","11172","13"
"16","4","1","20000","855.52","2.59","24","10768","15"
"17","4","1","20000","862.49","3.16","20","12343","23"
"21","4","1","20000","858.65","3.07","24","10088","10"
"19","4","1","20000","850.23","2.71","21","11605","19"
"20","4","1","20000","851","2.21","25","11515","13"
"22","4","1","20000","840.05","2.31","24","10833","11"
"18","4","1","20000","849.83","2.92","22","11242","5"
"24","4","1","20000","848.82","2.97","23","12155","9"
"25","4","1","20000","873.05","3.05","18","12436","10"
"26","4","1","20000","842.55","2.82","24","12176","10"
"27","4","1","20000","840.79","2.52","24","10920","10"
"28","4","1","20000","849.14","2.56","23","11842","15"
"23","4","1","20000","850.38","2.78","23","11170","14"
"29","4","1","20000","839.3","2.36","25","10359","13"
"30","4","1","20000","849.01","2.71","23","10306","7"
