"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"NCDrones_Max_Infrange,nlogo",,,,,,,,
max20k,,,,,,,,
04/04/2019 13:15:13:005 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
3,4,1,20000,"873,43","3,85",22,13588,12
2,4,1,20000,"881,33","3,89",20,13532,15
4,4,1,20000,"887,92","3,68",20,13691,13
8,4,1,20000,"881,16","3,88",20,13116,16
6,4,1,20000,"874,63","3,8",21,14038,17
7,4,1,20000,"877,21","3,97",19,13171,17
5,4,1,20000,"871,68","3,77",20,12805,9
1,4,1,20000,"878,27","3,84",20,13428,12
10,4,1,20000,"883,06","3,94",22,13319,21
9,4,1,20000,"886,8","3,71",21,13922,18
11,4,1,20000,"887,17","4,24",17,12988,13
12,4,1,20000,"874,06","3,85",20,13818,10
14,4,1,20000,"895,43","3,92",20,12857,11
13,4,1,20000,"884,09","3,95",21,13291,10
15,4,1,20000,"888,02","3,83",21,13059,11
17,4,1,20000,"877,5","4,02",21,12886,12
19,4,1,20000,"887,85","3,83",20,13477,10
18,4,1,20000,"873,03","4,07",22,13612,20
16,4,1,20000,"875,81","3,86",22,12809,16
21,4,1,20000,"863,36","3,85",20,13330,8
20,4,1,20000,"906,18","3,92",20,13804,20
22,4,1,20000,"888,08","4,06",20,14269,14
23,4,1,20000,"878,37","3,81",21,14051,18
24,4,1,20000,"873,41","3,93",20,13148,14
25,4,1,20000,"870,3","4,24",19,12957,5
26,4,1,20000,"878,84","3,97",20,11989,8
28,4,1,20000,"883,3","3,97",20,13097,20
29,4,1,20000,"893,77","4,13",21,13024,16
30,4,1,20000,"883,23","3,92",20,13912,10
27,4,1,20000,"878,55","3,7",22,13013,19
,,,,"881,1946666667","3,9133333333",,,
,,,,"8,6155263747","0,1378488261",,,
