"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"NCDrone_Multi_infrange,nlogo",,,,,,,,
multi_infrange10k100,,,,,,,,
03/29/2019 00:00:01:811 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
5,4,1,10000,"827,11","1,58",10,3908,74
6,4,1,10000,"855,81","1,95",11,4502,97
7,4,1,10000,"880,56","1,69",11,4839,59
2,4,1,10000,"831,4","1,96",12,4767,108
4,4,1,10000,"853,88","1,43",13,3632,28
3,4,1,10000,"820,92","1,43",11,2567,18
8,4,1,10000,"821,48","1,45",12,3576,17
1,4,1,10000,"898,7","1,91",11,4789,125
12,4,1,10000,"912,59","1,86",12,5432,140
9,4,1,10000,"853,22","2,07",11,3893,52
10,4,1,10000,"899,48","1,8",12,5018,93
11,4,1,10000,"837,89","1,55",12,3406,28
13,4,1,10000,"848,41","1,82",11,3886,58
14,4,1,10000,"870,96","1,66",12,5301,108
15,4,1,10000,"887,39","1,64",11,4386,48
16,4,1,10000,"859,61","2,22",10,4375,89
18,4,1,10000,"845,39","1,66",11,4196,55
17,4,1,10000,"851,07","1,74",11,4765,86
20,4,1,10000,"886,91","1,74",10,3966,30
19,4,1,10000,"835,31","1,67",11,4807,121
21,4,1,10000,"851,02","2,11",11,3995,88
22,4,1,10000,"837,58","1,65",12,3937,58
23,4,1,10000,"850,01","1,83",12,4384,78
26,4,1,10000,"911,14","1,92",10,5034,120
27,4,1,10000,"838,45","1,59",12,4223,74
25,4,1,10000,"882,73","1,95",10,4722,101
28,4,1,10000,"843,55","1,8",11,3631,20
24,4,1,10000,"852,95","1,65",12,4836,121
29,4,1,10000,"817,09","1,64",12,3498,66
30,4,1,10000,"813,63","1,86",10,3514,38
,,,,,"1,761",,,
,,,,,"0,1972456896",,,
