"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"NCDrone_Multi_infrange,nlogo",,,,,,,,
multi_infrange15k,,,,,,,,
04/04/2019 13:20:00:339 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
3,4,1,15000,"841,27","1,58",18,6270,31
4,4,1,15000,"823,61","1,9",18,6642,34
2,4,1,15000,"840,94","1,7",19,5953,48
6,4,1,15000,861,"1,74",19,7435,31
7,4,1,15000,"868,04","1,98",18,7313,81
5,4,1,15000,"900,76","1,9",19,7106,81
8,4,1,15000,"869,83","1,71",18,7641,116
1,4,1,15000,"866,72","1,93",19,7342,50
9,4,1,15000,"875,42","1,82",19,7209,117
10,4,1,15000,"820,79","1,85",19,6232,14
11,4,1,15000,"848,46","1,68",18,6781,109
12,4,1,15000,"864,53","1,53",19,6171,29
14,4,1,15000,"865,23","1,67",20,6398,63
13,4,1,15000,"836,1","1,54",19,6014,31
15,4,1,15000,"865,02","1,61",18,7111,41
17,4,1,15000,"864,39","2,18",19,6659,21
18,4,1,15000,"846,81","1,69",19,5712,40
19,4,1,15000,"845,24","1,6",18,6140,23
20,4,1,15000,"855,12","1,42",19,6888,63
21,4,1,15000,"846,7","1,65",19,6568,54
16,4,1,15000,"862,37","2,16",18,7514,90
22,4,1,15000,"846,56","1,57",19,6209,21
24,4,1,15000,"852,68","1,62",19,8051,106
23,4,1,15000,"864,93","1,98",17,6762,59
25,4,1,15000,"842,93","1,66",19,6828,75
26,4,1,15000,"845,86","2,16",18,7096,44
27,4,1,15000,"840,94","1,58",19,7110,35
28,4,1,15000,"847,28","1,75",20,6243,66
30,4,1,15000,"898,24","2,82",18,6142,59
29,4,1,15000,"878,95","2,02",18,8271,147
,,,,"856,224","1,8",,,
,,,,"18,3319964486","0,2785306273",,,
