"BehaviorSpace results (NetLogo 5.3.1)"
"NCDrone_Multi_infrange.nlogo"
"multi_infrange15k"
"03/29/2019 00:31:02:553 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"8","4","1","15000","862.03","1.71","20","5167","7"
"4","4","1","15000","857.2","1.45","20","5087","9"
"2","4","1","15000","889.81","1.98","18","5059","4"
"5","4","1","15000","827.34","1.77","19","5151","14"
"6","4","1","15000","840.71","1.65","19","5695","20"
"7","4","1","15000","871.74","1.6","19","6542","11"
"3","4","1","15000","854.93","1.56","20","5936","9"
"1","4","1","15000","841.72","1.72","19","5711","32"
"9","4","1","15000","863.4","1.59","19","4849","4"
"11","4","1","15000","824.33","1.6","19","5469","12"
"10","4","1","15000","849.9","1.82","19","5448","3"
"12","4","1","15000","834.75","1.69","19","5698","8"
"13","4","1","15000","856.81","2.25","17","6278","28"
"15","4","1","15000","867.19","1.57","19","5659","9"
"14","4","1","15000","831.88","1.63","19","4806","15"
"16","4","1","15000","848.89","2.44","18","6574","27"
"17","4","1","15000","863.43","1.55","19","6445","29"
"18","4","1","15000","827.41","1.86","19","5316","8"
"19","4","1","15000","859.96","1.65","18","5773","17"
"20","4","1","15000","851.23","1.5","20","5594","6"
"21","4","1","15000","880","1.87","18","5150","10"
"22","4","1","15000","801.2","1.48","19","5083","14"
"23","4","1","15000","902.05","1.7","19","6628","15"
"26","4","1","15000","851.39","1.79","20","5800","27"
"25","4","1","15000","827.61","1.65","19","4803","10"
"24","4","1","15000","861.68","1.96","18","5770","9"
"28","4","1","15000","880.3","1.53","19","5724","10"
"27","4","1","15000","879.46","2.01","19","7187","37"
"29","4","1","15000","881.85","2.03","17","7261","20"
"30","4","1","15000","864.04","1.7","19","6230","13"
