"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"NCDrone_Multi_infrange,nlogo",,,,,,,,
multi_infrange20k,,,,,,,,
03/29/2019 00:35:24:322 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
7,4,1,20000,"857,07","1,56",27,9106,29
2,4,1,20000,"846,96","1,73",28,10906,56
4,4,1,20000,"875,2","2,02",26,10162,58
3,4,1,20000,"831,38","1,92",26,9212,19
8,4,1,20000,"869,38","1,96",27,8564,25
5,4,1,20000,"873,43","1,38",27,8484,43
6,4,1,20000,"865,27","1,8",26,9734,34
1,4,1,20000,"860,19","2,31",26,9327,78
9,4,1,20000,"866,95","1,77",27,8967,10
10,4,1,20000,"840,23","1,49",27,8275,44
11,4,1,20000,"857,02","1,89",27,8811,29
12,4,1,20000,"829,06","1,87",26,9567,22
13,4,1,20000,"858,66","2,06",26,10065,71
14,4,1,20000,"868,47","2,38",26,9248,10
15,4,1,20000,"868,98","1,66",25,8787,16
16,4,1,20000,"827,93","1,57",27,8063,23
17,4,1,20000,"840,73","1,88",26,9302,45
18,4,1,20000,"849,84","1,63",27,8165,14
19,4,1,20000,"877,49","1,63",28,9111,37
20,4,1,20000,"844,63","1,64",27,9384,32
22,4,1,20000,"839,73","1,56",27,7027,28
21,4,1,20000,"882,46","1,82",27,9471,28
23,4,1,20000,"834,98","1,56",26,8335,70
25,4,1,20000,"848,92","1,69",27,9408,16
26,4,1,20000,"870,11","2,07",25,11108,85
27,4,1,20000,"846,37","1,32",27,8611,24
24,4,1,20000,"880,99","1,77",25,9947,29
28,4,1,20000,"886,48","1,86",27,10244,53
29,4,1,20000,"847,47","1,38",28,7840,19
30,4,1,20000,"872,16","2,19",26,10047,93
,,,,,"1,779",,,
,,,,,"0,2635611556",,,
