"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"NCDrone_Multi_infrange,nlogo",,,,,,,,
multi_infrange20k,,,,,,,,
04/04/2019 13:22:52:954 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
6,4,1,20000,"865,81","2,86",25,11849,312
2,4,1,20000,"875,97","2,42",23,8888,67
5,4,1,20000,"869,93","3,07",26,11029,254
7,4,1,20000,"876,13","2,85",24,12264,164
3,4,1,20000,"853,85","1,82",27,9739,41
8,4,1,20000,"884,04","2,65",26,11959,270
1,4,1,20000,"931,86","2,47",24,14797,638
4,4,1,20000,"855,08","1,94",26,10755,90
10,4,1,20000,"873,54","1,46",26,10259,117
9,4,1,20000,"860,86","2,06",25,11313,63
11,4,1,20000,"849,79","1,62",26,10515,81
12,4,1,20000,"888,1","2,51",25,12266,187
13,4,1,20000,"884,54","1,76",26,12808,194
14,4,1,20000,"870,94","2,09",26,10334,91
18,4,1,20000,"845,69","1,86",27,10224,32
17,4,1,20000,"886,92","2,02",26,12228,155
15,4,1,20000,"855,58","2,31",24,11333,135
20,4,1,20000,"843,03","1,72",27,8453,26
19,4,1,20000,"852,22","2,13",26,10337,65
21,4,1,20000,"867,16","1,59",27,10438,111
16,4,1,20000,"885,1","2,47",25,10207,87
22,4,1,20000,"888,31","2,02",26,10900,185
23,4,1,20000,"872,26","1,92",26,10883,114
24,4,1,20000,"885,11","2,02",25,10798,83
27,4,1,20000,"862,61","2,34",27,9810,91
28,4,1,20000,"848,35","2,08",26,10544,68
26,4,1,20000,"856,96","1,99",27,10894,168
25,4,1,20000,"877,2","2,61",25,11229,67
30,4,1,20000,"860,19","3,01",25,10259,167
29,4,1,20000,"897,26","3,6",25,14652,611
,,,,"870,813","2,2423333333",,,
,,,,"18,6996218199","0,4964819914",,,
