"BehaviorSpace results (NetLogo 5.3.1)"
"NCDrone_Multi_infrange.nlogo"
"multi_infrange20k"
"03/29/2019 00:21:47:085 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"8","4","1","20000","861.75","2.13","27","10527","134"
"5","4","1","20000","847.83","2.25","25","11197","89"
"3","4","1","20000","843.73","1.67","27","9590","99"
"6","4","1","20000","855.78","1.74","26","10432","124"
"2","4","1","20000","894.52","2.22","25","12403","133"
"1","4","1","20000","844.87","1.93","26","10564","61"
"4","4","1","20000","852.93","2.02","27","10543","90"
"7","4","1","20000","861.01","1.53","27","9145","20"
"10","4","1","20000","840.08","1.47","28","7515","16"
"9","4","1","20000","877.4","1.78","27","9765","87"
"12","4","1","20000","836.04","1.93","26","8276","17"
"11","4","1","20000","863.36","1.6","27","9545","70"
"13","4","1","20000","859.95","1.84","26","11133","59"
"15","4","1","20000","864.17","1.67","26","9623","49"
"14","4","1","20000","855.79","1.66","26","9947","64"
"16","4","1","20000","893.46","1.97","26","10938","112"
"19","4","1","20000","830.31","1.9","23","10163","76"
"17","4","1","20000","880.84","1.54","28","10904","108"
"18","4","1","20000","885.64","2.37","26","10997","172"
"20","4","1","20000","852.38","1.7","27","10027","135"
"21","4","1","20000","851.99","1.56","27","9654","37"
"22","4","1","20000","861.52","1.97","26","10991","54"
"23","4","1","20000","849.42","2.09","26","9571","29"
"24","4","1","20000","873.65","2.15","25","11051","56"
"25","4","1","20000","870.77","2.31","25","10303","60"
"27","4","1","20000","841.34","2.1","27","8431","13"
"26","4","1","20000","844.75","1.71","27","9527","82"
"28","4","1","20000","837.02","1.6","27","7991","20"
"29","4","1","20000","844.72","1.33","28","9299","18"
"30","4","1","20000","867.64","2.13","26","9818","48"
