"BehaviorSpace results (NetLogo 5.3.1)"
"NCDrone_WS.nlogo"
"nc-ws10k"
"05/03/2019 11:30:05:807 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"6","4","1","10000","718.49","0.81","14","20017","104"
"2","4","1","10000","714.4","0.74","14","19620","112"
"4","4","1","10000","715.98","0.72","13","20028","101"
"3","4","1","10000","718.45","0.71","14","20223","123"
"5","4","1","10000","716.48","0.68","14","19557","107"
"8","4","1","10000","721.85","0.77","14","19981","137"
"7","4","1","10000","722.23","0.72","14","20075","109"
"1","4","1","10000","713.4","0.72","14","19600","117"
"9","4","1","10000","712.14","0.74","14","19778","113"
"10","4","1","10000","717.76","0.71","14","20416","113"
"11","4","1","10000","712.42","0.76","14","19534","108"
"12","4","1","10000","721.99","0.73","14","19791","126"
"13","4","1","10000","719.64","0.73","14","20226","125"
"14","4","1","10000","720.69","0.75","14","20251","108"
"15","4","1","10000","725.67","0.72","14","19836","122"
"16","4","1","10000","718.85","0.85","13","20099","86"
"18","4","1","10000","714.97","0.71","14","20151","114"
"17","4","1","10000","718.5","0.72","13","19872","127"
"19","4","1","10000","717.02","0.65","14","20088","86"
"21","4","1","10000","715.59","0.72","14","19882","116"
"20","4","1","10000","720.59","0.69","14","19771","94"
"22","4","1","10000","713.71","0.71","14","20071","126"
"23","4","1","10000","721.19","0.71","14","20287","120"
"24","4","1","10000","720.3","0.73","14","20286","91"
"25","4","1","10000","718.83","0.74","14","19738","131"
"26","4","1","10000","717.63","0.75","14","20063","123"
"28","4","1","10000","719.1","0.71","14","19874","92"
"27","4","1","10000","715.29","0.8","14","19629","121"
"29","4","1","10000","723.44","0.75","13","19891","122"
"30","4","1","10000","716.97","0.73","14","20221","111"
