BehaviorSpace results (NetLogo 5.3.1),,,,,,,,
NCDrone_WS.nlogo,,,,,,,,
nc-ws10k,,,,,,,,
05/11/2019 13:54:18:273 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
2,4,1,10000,736.97,0.72,14,7485,73
3,4,1,10000,745,0.72,14,7581,91
4,4,1,10000,744.93,0.68,14,7470,89
1,4,1,10000,754.7,0.73,14,7586,82
8,4,1,10000,738.21,0.73,14,7309,85
5,4,1,10000,746.21,0.74,14,7352,83
6,4,1,10000,747.19,0.73,14,7409,63
7,4,1,10000,758.59,0.73,14,7129,82
9,4,1,10000,747.18,0.76,13,7416,108
10,4,1,10000,743.56,0.65,14,7234,74
11,4,1,10000,740.99,0.69,14,7438,92
12,4,1,10000,738.55,0.76,14,7682,80
13,4,1,10000,760.16,0.71,14,7263,76
14,4,1,10000,744.33,0.78,14,7300,78
15,4,1,10000,744.85,0.63,15,7529,84
16,4,1,10000,748.4,0.74,13,7277,74
17,4,1,10000,757.08,0.71,14,7348,87
18,4,1,10000,738.66,0.7,14,7460,87
19,4,1,10000,766.26,0.73,14,7337,87
20,4,1,10000,754.22,0.68,14,7273,83
21,4,1,10000,752.33,0.72,14,7473,80
22,4,1,10000,750.72,0.74,14,7476,111
23,4,1,10000,748.82,0.65,14,7344,79
24,4,1,10000,745.09,0.65,15,7531,85
25,4,1,10000,738.99,0.7,13,7597,65
26,4,1,10000,757.84,0.68,14,7323,80
27,4,1,10000,739.68,0.73,13,7300,92
28,4,1,10000,745.5,0.69,14,7327,98
29,4,1,10000,743.11,0.69,14,7663,75
30,4,1,10000,736.28,0.69,14,7348,77
,,,,,,,7408.6666666667,
,,,,,,,133.9581337926,
,,,,,,,7682,
