"BehaviorSpace results (NetLogo 5.3.1)"
"NCDrone_WS.nlogo"
"nc-ws15k"
"05/11/2019 14:02:50:200 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"2","4","1","15000","750.66","0.86","22","11829","143"
"3","4","1","15000","755.71","0.73","22","11418","142"
"4","4","1","15000","762.2","0.71","22","11770","173"
"1","4","1","15000","756.08","0.75","21","11696","121"
"5","4","1","15000","754.24","0.68","22","11717","141"
"7","4","1","15000","746.11","0.7","22","11616","124"
"6","4","1","15000","756.84","0.69","22","11501","128"
"8","4","1","15000","755.49","0.68","22","11813","135"
"10","4","1","15000","750.54","0.68","22","11686","144"
"9","4","1","15000","762.87","0.69","22","11705","125"
"11","4","1","15000","757.62","0.7","22","11584","157"
"12","4","1","15000","752.95","0.72","22","11826","152"
"13","4","1","15000","750.16","0.78","22","11762","143"
"14","4","1","15000","762.99","0.77","22","11574","157"
"15","4","1","15000","748.49","0.69","22","11573","133"
"16","4","1","15000","751.73","0.71","22","11465","126"
"18","4","1","15000","752.76","0.75","22","11606","139"
"19","4","1","15000","750.98","0.72","22","11365","133"
"17","4","1","15000","754.64","0.76","22","11844","141"
"20","4","1","15000","751.32","0.7","22","11494","136"
"21","4","1","15000","764.16","0.7","22","11666","141"
"22","4","1","15000","754.43","0.69","21","11598","137"
"23","4","1","15000","760.64","0.7","22","11639","125"
"24","4","1","15000","752.89","0.7","22","11722","150"
"25","4","1","15000","766.09","0.71","22","11697","147"
"26","4","1","15000","759.18","0.69","22","11674","150"
"27","4","1","15000","759.11","0.68","22","11387","115"
"30","4","1","15000","748.15","0.7","22","11545","117"
"28","4","1","15000","748.46","0.71","22","11813","155"
"29","4","1","15000","765.74","0.73","22","11436","144"
