ticks,qmi,sdf,turn-side
100,773.78,1.05,7774
100,789.69,0.75,8088
100,813.14,0.81,7652
100,797.66,0.76,7704
100,774.68,1.09,7597
100,790.94,1.03,7702
100,798.64,0.85,7677
100,799.94,0.69,7768
100,797.58,0.81,7679
100,809.28,0.76,7799
100,771.13,0.76,6809
100,804.04,0.8,8027
100,791.13,0.79,7803
100,782.79,0.81,7730
100,787.5,0.86,7075
100,778.35,1,7546
100,781.82,0.77,7786
100,794.38,0.8,7885
100,784.15,0.76,7295
100,825.17,0.79,8202
100,780.45,0.84,7660
100,800.16,0.86,8313
100,807.93,0.76,8094
100,784.36,0.83,7837
100,779.62,0.77,7614
100,773.58,0.95,7552
100,774.43,0.85,7505
100,790.05,0.82,7602
100,797.07,0.82,7786
100,786.47,0.88,8007
50,774.43,0.68,7418
50,771,0.73,7906
50,761.79,0.69,7415
50,772.25,0.7,7916
50,758.11,0.7,7352
50,769.02,0.68,7334
50,757.04,0.73,7787
50,762.97,0.66,7693
50,749.08,0.81,6949
50,762.3,0.7,7142
50,764.45,0.72,7594
50,760.49,1.03,6921
50,749.06,0.93,7153
50,781.39,0.74,7114
50,768.7,0.73,7539
50,754.12,0.78,7099
50,769.77,0.73,7847
50,751.4,0.88,7315
50,762.72,0.75,7858
50,782.97,0.77,7073
50,762.54,0.71,7023
50,761.74,1.02,7225
50,754.81,0.9,6690
50,781.78,0.89,8132
50,764.7,0.7,7391
50,772.88,0.75,7651
50,765.54,0.77,7779
50,767.44,0.85,7765
50,759.55,0.9,7077
50,766.23,0.74,6852
250,839.63,0.84,7534
250,868.2,1.14,7840
250,869.07,1.18,7901
250,838.43,0.95,7782
250,866.8,1,7562
250,852.78,1.39,7864
250,827.17,0.85,7631
250,863.5,1.08,7482
250,862.95,1.18,7773
250,839.88,1.07,7745
250,853.02,1.24,7322
250,848.61,0.92,7079
250,830.2,1.19,7191
250,823.16,0.94,7385
250,817.2,0.94,7660
250,829.57,0.99,8176
250,831.66,0.91,7053
250,843.09,0.86,7380
250,842.86,1.01,8299
250,861.74,1.06,7542
250,846.47,1.14,7607
250,850.44,1.03,7391
250,847.98,0.91,8044
250,880.24,0.88,7267
250,827.8,0.94,7788
250,872.34,1.2,7116
250,875.03,1.53,7824
250,847.5,0.97,7862
250,835.1,0.93,7635
250,846.05,1.1,7535
500,901.81,1.37,8045
500,910.25,1.4,8204
500,884.94,1.37,6755
500,947.11,1.28,6921
500,872.72,1.4,8333
500,888.57,0.98,7203
500,921.12,1.17,8160
500,892.4,1.2,7997
500,896.63,1.56,8031
500,908.8,1.25,7087
500,888.38,1.16,8010
500,901.96,1.29,6944
500,894.7,1.34,6984
500,946.51,0.93,8361
500,882.53,1.09,7948
500,916.82,0.93,7253
500,895.39,1.19,7096
500,942.12,1.39,6059
500,883.81,1.73,7427
500,870.5,1.25,7996
500,922.18,1.09,6840
500,914.58,1.31,7933
500,900.31,1.3,7830
500,861.9,1.12,6534
500,909.46,1.18,7384
500,881.19,1.08,7776
500,886.82,1.33,6847
500,897.61,1.25,8567
500,955.93,1.07,7403
500,907.54,1.27,8311
1k,1046.77,1.7,6392
1k,992.8,1.93,5948
1k,936.03,1.76,6454
1k,1006.16,1.94,6312
1k,1049.59,1.98,5730
1k,1010.31,1.56,6937
1k,962.53,1.78,6645
1k,1024.17,2.25,5559
1k,1018.39,2.18,6987
1k,972.39,2.27,6248
1k,916.42,1.59,7319
1k,929.4,2.32,6763
1k,937.3,2.39,5862
1k,1036.09,1.59,5372
1k,993.47,1.95,5840
1k,979.96,1.81,6670
1k,976.03,1.73,6148
1k,1033.38,1.74,6300
1k,992.77,1.65,6148
1k,952.38,1.92,5964
1k,937.31,1.91,6996
1k,921.16,1.66,6105
1k,973.25,1.85,6212
1k,951.38,1.74,6599
1k,1016.72,1.65,6375
1k,961.3,2.1,6092
1k,1015.05,2.07,6583
1k,952,2.03,6500
1k,1007.06,1.92,5998
1k,944.8,1.78,5795
Centralized,860.15,0.7,4042
Centralized,753.29,0.72,5782
Centralized,792.57,0.81,5395
Centralized,791.61,0.77,5795
Centralized,812.2,0.71,4630
Centralized,748.68,0.77,5803
Centralized,751.69,0.62,5778
Centralized,745.16,0.7,5762
Centralized,738.28,0.75,5967
Centralized,765.26,0.66,6096
Centralized,791.43,0.72,5363
Centralized,766.55,0.83,5792
Centralized,743.91,0.67,5601
Centralized,740.03,0.66,6172
Centralized,763.34,0.74,6167
Centralized,744.06,0.97,5677
Centralized,751.26,0.71,6080
Centralized,770.49,0.66,5639
Centralized,737.95,0.76,6036
Centralized,764.66,0.62,6108
Centralized,744.24,0.74,5987
Centralized,751.45,0.72,6333
Centralized,785.53,0.68,5547
Centralized,745.49,0.65,6558
Centralized,850.5,0.73,4936
Centralized,746.11,0.74,5802
Centralized,791.58,0.69,4846
Centralized,803.37,0.68,5886
Centralized,829.84,0.78,5410
Centralized,789.11,0.71,5757
