"BehaviorSpace results (NetLogo 5.3.1)"
"MultipleMatrix_TimeDecay.nlogo"
"multiplematrix_TD20k"
"04/08/2019 13:28:24:190 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"4","4","1","20000","972.95","1.95","27","35706","4564"
"5","4","1","20000","983.16","1.24","28","33726","4076"
"2","4","1","20000","981.25","1.44","28","35067","4142"
"7","4","1","20000","993.01","1.8","27","35149","4414"
"6","4","1","20000","994.34","1.56","27","34471","4025"
"3","4","1","20000","990.13","1.61","27","34546","4395"
"8","4","1","20000","1002.98","1.44","27","33247","4573"
"9","4","1","20000","986.1","1.71","28","36739","4431"
"10","4","1","20000","965.56","1.73","27","33962","3932"
"1","4","1","20000","969.35","1.61","27","33917","3953"
"11","4","1","20000","1017.78","1.1","29","33150","3989"
"13","4","1","20000","1013.88","1.5","27","33056","3865"
"12","4","1","20000","1001.84","1.35","29","34429","4175"
"14","4","1","20000","995.44","1.5","27","34924","4156"
"19","4","1","20000","1007.13","1.54","27","34959","4471"
"17","4","1","20000","1008.56","1.45","28","34992","4449"
"16","4","1","20000","1011.96","1.52","27","34446","4509"
"20","4","1","20000","996.8","1.26","29","32758","3923"
"21","4","1","20000","1013.73","1.91","27","34101","4243"
"15","4","1","20000","971.68","1.63","27","35969","4158"
"22","4","1","20000","1001.01","1.29","28","35281","4341"
"18","4","1","20000","1001.58","1.3","28","34642","4254"
"23","4","1","20000","1071.72","1.91","27","32291","4015"
"24","4","1","20000","987.49","1.15","28","34976","4209"
"25","4","1","20000","980.35","1.15","28","34080","3890"
"26","4","1","20000","1035.09","1.17","29","35054","4787"
"27","4","1","20000","983.72","1.28","28","35204","4185"
"29","4","1","20000","1054.22","1.32","29","31055","4824"
"28","4","1","20000","1014.14","1.44","28","34613","4408"
"30","4","1","20000","1032.89","1.46","29","34825","4821"
