"BehaviorSpace results (NetLogo 5,3,1)",,,,,,,,
"MultipleMatrix_TimeDecay (copy),nlogo",,,,,,,,
multiplematrix_TD15k,,,,,,,,
04/24/2019 16:12:53:684 -0300,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,
0,49,0,49,,,,,
[run number],number-of-ants,time-between-ants,[step],qmi,sdf,number-of-coverages,turn-side,turn-back
2,4,1,15000,"873,05","2,06",17,17625,1487
4,4,1,15000,"872,65","1,88",18,18124,1528
3,4,1,15000,"895,69","1,88",17,18448,1718
5,4,1,15000,"889,1","1,77",17,17536,1646
7,4,1,15000,"856,61","2,8",17,17763,1611
8,4,1,15000,"891,32","1,73",18,18544,1608
6,4,1,15000,"879,17","2,06",19,17493,1475
1,4,1,15000,"885,1","2,83",16,17472,1529
9,4,1,15000,"859,9","1,96",17,17230,1377
10,4,1,15000,"875,53","1,92",17,17730,1554
12,4,1,15000,"887,29","1,67",19,17938,1628
11,4,1,15000,"884,34","1,92",18,18792,1827
13,4,1,15000,"875,6","2,11",17,18023,1666
14,4,1,15000,"878,75","1,82",18,17769,1559
15,4,1,15000,"906,41","2,05",16,18178,1714
17,4,1,15000,"864,44","2,49",17,17732,1704
16,4,1,15000,"893,31","1,98",18,18221,1675
18,4,1,15000,"893,71","2,5",18,17399,1631
20,4,1,15000,"905,38","1,87",18,18507,1769
19,4,1,15000,"852,68","1,96",17,16973,1384
21,4,1,15000,"911,58","1,93",18,17650,1592
22,4,1,15000,"866,72","2,29",17,17400,1557
23,4,1,15000,"864,29","1,56",20,17464,1376
24,4,1,15000,"864,36","1,7",19,17537,1276
26,4,1,15000,"866,38","1,79",17,18166,1666
27,4,1,15000,"877,08","2,09",17,17763,1528
28,4,1,15000,"881,4","1,65",19,17946,1505
29,4,1,15000,"887,77","1,83",18,17982,1658
25,4,1,15000,"892,71","1,67",18,17716,1436
30,4,1,15000,"867,3","1,84",18,17394,1344
,,,,"879,9873333333","1,987",,,
,,,,"15,074124652","0,314896261",,,
