"BehaviorSpace results (NetLogo 5.3.1)"
"MultipleMatrix_TimeDecay.nlogo"
"multiplematrix_TD20k"
"04/23/2019 16:11:16:140 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"4","4","1","20000","932.47","2.24","24","33537","4255"
"7","4","1","20000","1005.75","2.68","24","33537","4738"
"3","4","1","20000","965.59","2.33","24","32897","4201"
"6","4","1","20000","954.98","2.51","25","32852","4051"
"1","4","1","20000","940.33","2.59","23","33496","4332"
"5","4","1","20000","956.92","2.26","25","33210","4302"
"8","4","1","20000","944.09","2.46","24","32371","4346"
"2","4","1","20000","928.47","2.48","23","32774","4036"
"9","4","1","20000","957.47","2.55","23","33482","4524"
"10","4","1","20000","966.51","2.56","25","33754","4461"
"11","4","1","20000","993.23","2.74","24","33360","4521"
"13","4","1","20000","982.07","2.22","24","33610","4210"
"12","4","1","20000","960.79","2.18","25","32687","3865"
"14","4","1","20000","975.17","2.68","23","32700","4254"
"15","4","1","20000","973.28","2.04","26","33450","4752"
"17","4","1","20000","953.79","2.47","24","33412","4456"
"18","4","1","20000","992.22","2.78","24","33153","4395"
"19","4","1","20000","977.94","2.12","24","33920","4642"
"16","4","1","20000","969.43","2.96","21","33362","4480"
"21","4","1","20000","969.31","2.22","25","33112","4426"
"20","4","1","20000","985.42","2","26","33788","4456"
"22","4","1","20000","977.21","2.01","26","33676","4552"
"23","4","1","20000","974.23","2.04","25","33364","4493"
"24","4","1","20000","988.64","2.4","23","33487","4491"
"25","4","1","20000","941.72","2.29","25","32918","4138"
"26","4","1","20000","961.14","2.55","22","33314","4282"
"29","4","1","20000","963.11","2.56","23","33821","4623"
"28","4","1","20000","955.38","2.38","24","33133","4546"
"30","4","1","20000","928.44","2.38","25","32175","3342"
"27","4","1","20000","942.1","1.91","24","33037","3811"
