"BehaviorSpace results (NetLogo 5.3.1)"
"NCDrone_AVG.nlogo"
"avg10k"
"03/26/2019 21:33:57:107 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","number-of-ants","time-between-ants","[step]","qmi","sdf","number-of-coverages","turn-side","turn-back"
"2","4","1","10000","820.43","2.43","9","6215","5"
"3","4","1","10000","779.78","2.33","10","6016","7"
"1","4","1","10000","804.98","2.26","11","6441","12"
"4","4","1","10000","795.17","2.2","10","6211","12"
"6","4","1","10000","815.37","2.38","10","6339","9"
"5","4","1","10000","798.54","2.28","10","6552","11"
"7","4","1","10000","819.56","2.48","10","6146","17"
"8","4","1","10000","804.45","2.29","11","6817","9"
"10","4","1","10000","814.39","2.42","11","6334","11"
"9","4","1","10000","808.73","2.26","11","6682","12"
"11","4","1","10000","807.43","2.27","9","6122","11"
"13","4","1","10000","802.11","2.21","10","6282","13"
"12","4","1","10000","820.82","2.31","10","6780","9"
"14","4","1","10000","788.03","2.2","10","6476","8"
"15","4","1","10000","814.4","2.33","10","6917","15"
"16","4","1","10000","803.07","2.3","10","6653","10"
"18","4","1","10000","791.87","2.44","10","6166","12"
"19","4","1","10000","804.35","2.36","10","5892","14"
"17","4","1","10000","803.25","2.22","10","6799","8"
"20","4","1","10000","817.55","2.46","9","6190","11"
"21","4","1","10000","807.05","2.46","10","6543","10"
"22","4","1","10000","792.89","2.27","10","5659","9"
"24","4","1","10000","799.29","2.3","11","7367","15"
"25","4","1","10000","794.03","2.28","10","6397","4"
"23","4","1","10000","805.58","2.31","10","6568","11"
"26","4","1","10000","815.36","2.55","9","6822","13"
"28","4","1","10000","812.9","2.32","10","5885","11"
"27","4","1","10000","798.77","2.38","10","6708","16"
"29","4","1","10000","780.01","2.09","11","6151","9"
"30","4","1","10000","812.23","2.34","10","6361","9"
